"ISO.Code","Country.Name","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5"
"THA","Thailand",215.165,207.5653,200.5809,193.7227,187.2142,181.0023,174.9562,169.0879,163.4513,157.9908,152.6609,147.448,142.3579,137.3884,132.4766,127.6547,122.9316,118.2034,113.4537,108.7051,104.0415,99.4018,94.9026,90.5614,86.3908,82.4143,78.6259,75.0376,71.6085,68.3952,65.3534,62.4706,59.7506,57.1231,54.5539,52.1256,49.7043,47.3349,45.0506,42.7481,40.5753,38.49,36.5004,34.6699,32.9327,31.2883,29.7721,28.3084,26.9156,25.5868,24.3464,23.1707,22.0685,21.0143,20.0216,19.076,18.1774,17.3212,16.5009,15.7369,15.0155,14.3245,13.6754,13.0533,12.469,11.9008,11.3654,10.8318,10.3559,9.9073
"TLS","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.641,218.8316,208.7889,199.3583,190.3342,181.8369,173.861,166.1396,158.8586,151.7258,144.9172,138.4142,132.0206,125.8292,119.8365,113.9646,108.1985,102.624,97.1136,91.654,86.4999,81.5797,77.0026,72.9233,69.3723,66.2696,63.5232,61.1057,58.8027,56.8161,54.8479,52.9405,51.1656,49.5325,48.0616
"TGO","Togo",332.1159,326.828,321.7015,316.5086,311.4568,306.567,301.7033,296.6146,291.7285,286.766,282.1412,277.5356,272.8733,268.2229,263.4246,258.841,253.942,248.9966,244.0331,238.9697,233.9493,228.8353,223.7727,218.8035,213.7214,208.7824,203.8804,199.0525,194.2386,189.7137,185.3752,181.2319,177.1961,173.381,169.8296,166.5473,163.4399,160.61,158.0154,155.5941,153.3293,151.0891,148.9122,146.7421,144.4641,141.9183,139.1032,136.0264,132.8063,129.5064,126.0827,122.5436,119.0428,115.6223,112.2722,109.0956,105.9285,102.9051,99.9264,97.031,94.1943,91.5161,88.8427,86.2981,83.8979,81.4519,79.1062,76.791,74.4574,72.1291
"TON","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7749,66.4215,62.3176,58.3556,54.4767,50.8651,47.4039,44.299,41.4661,39.0288,36.8345,34.9006,33.1129,31.579,30.1142,28.7852,27.6521,26.632,25.7094,24.9464,24.2546,23.6933,23.1921,22.6241,22.0707,21.4443,20.7215,19.9908,19.271,18.6273,18.0756,17.6157,17.289,17.0169,16.8361,16.6553,16.4061,16.1249,15.8719,15.6134,15.3955,15.2532,15.163,15.1098,15.0798,15.0889,15.0839,15.0488,15.0715,15.0659,15.0413,15.0612,15.0476,15.0954,15.1005,15.0715,14.9153
"TTO","Trinidad and Tobago",NA,NA,NA,91.5878,88.6062,85.5907,82.7319,79.9373,77.1386,74.4492,71.857,69.4289,67.1326,65.0146,62.9897,61.3376,59.8819,58.5367,57.3469,56.2578,55.1488,54.0051,52.9393,51.8391,50.5969,49.2674,47.9361,46.5448,45.1427,43.7835,42.503,41.1648,39.9299,38.7487,37.6587,36.6564,35.7412,34.8989,34.171,33.5422,32.9894,32.5337,32.1093,31.7565,31.4984,31.2495,31.037,30.8794,30.8424,30.7529,30.6405,30.5176,30.2454,29.8426,29.2852,28.6784,28.0063,27.2324,26.5207,25.794,25.022,24.2611,23.5932,22.8325,22.1986,21.5818,20.9271,20.3213,19.7678,19.1365
"TUN","Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.3204,263.5077,251.3681,239.1358,227.2563,215.6587,204.458,193.7891,183.5366,174.0959,165.0459,155.9554,146.9515,137.9923,129.1082,120.612,112.6485,105.4159,98.8216,93.0243,87.6844,82.8726,78.4427,74.2453,70.4176,67.0375,64.0292,61.2934,58.7781,56.3236,53.9458,51.4343,48.7708,46.0198,43.1671,40.2643,37.5045,34.9006,32.5238,30.3476,28.4259,26.7274,25.2501,23.9488,22.8409,21.8894,21.1111,20.4682,19.955,19.5591,19.2324,18.9735,18.7777,18.6319,18.5482,18.5023,18.4335,18.266
"TUR","Turkey",NA,NA,NA,306.3424,300.8959,295.4081,289.7811,283.7279,277.2141,270.4326,263.0726,255.0588,246.7798,238.4595,230.302,222.5283,215.5219,208.7988,202.4879,196.5378,190.6928,185.2058,179.5725,173.8229,167.9367,161.9499,155.9149,149.7288,143.6077,137.4602,131.2495,124.9605,118.729,112.6677,106.7662,101.0262,95.5575,90.3711,85.4261,80.7412,76.2663,72.0056,67.9922,64.0842,60.357,56.7542,53.2421,49.8492,46.5534,43.4018,40.4211,37.5373,34.8643,32.3613,30.0147,27.8283,25.7808,23.8894,22.1492,20.5567,19.1027,17.7767,16.5919,15.5614,14.6101,13.6859,12.8364,12.0632,11.3303,10.6767
"TKM","Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.5583,139.8126,135.0613,129.9553,125.0826,120.2655,115.2294,110.2191,105.4449,101.059,97.0604,93.5297,90.752,88.8299,87.8436,87.8197,88.2682,88.9094,89.2645,88.7718,87.4949,85.2113,82.0331,78.223,74.135,70.0598,66.094,62.2752,58.8209,55.8173,53.3127,51.2447,49.6584,48.5164,47.7088,47.2206,47.0632,47.1764,47.4243,47.7673,47.9932,48.0087,47.5086
"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.2964,80.77,77.4414,74.3618,71.4592,68.9838,66.7626,64.7384,63.023,61.5913,60.5253,59.5441,58.7477,58.077,57.3951,56.5673,55.778,54.9028,53.804,52.6315,51.37,49.9981,48.5183,47.0189,45.5619,44.2685,42.9887,41.9164,41.0042,40.158,39.3565,38.54,37.6139,36.6708,35.7218,34.687,33.681,32.6436,31.6549,30.7452,29.7714,28.8287,27.8998,26.9932,26.0965
"UGA","Uganda",NA,NA,NA,NA,266.307,260.7707,255.265,249.7468,244.885,240.2416,235.7895,231.6623,227.4944,223.7135,219.7744,216.3078,212.792,209.2726,206.2517,204.1578,202.9004,202.7776,203.6289,205.5029,208.5158,212.5927,217.1478,222.0004,226.3231,229.0864,230.9242,229.3899,224.8831,218.8902,212.9386,208.1854,204.7868,202.5016,200.2529,197.4917,193.9313,189.7303,185.3846,181.5594,178.5721,176.394,174.3403,171.6148,167.9239,163.1292,157.0006,149.6374,141.517,132.9206,124.211,115.8297,108.0712,101.0875,94.6249,88.9527,83.4693,78.7835,73.4899,69.0284,64.9707,61.4182,57.8242,55.1759,52.695,50.5461
